Hospital_Name,Hospital_Ownership,Hospital_Type,State,City,ZIP_Code,Hospital_overall_rating,County_Name,Location,Emergency_Services,Patient_experience_national_comparison
"TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS","Voluntary non-profit - Private","Acute Care Hospitals",TX,DALLAS,75231,4,DALLAS,"8200 WALNUT HILL LANE
DALLAS, TX
(32.883139, -96.763574)",TRUE,"Same as the national average"
"OLYMPIC MEDICAL CENTER","Government - Local","Acute Care Hospitals",WA,"PORT ANGELES",98362,2,CLALLAM,"939 CAROLINE ST
PORT ANGELES, WA
(48.114635, -123.414084)",TRUE,"Same as the national average"
"MEDICAL CITY ALLIANCE","Voluntary non-profit - Private","Acute Care Hospitals",TX,"FORT WORTH",76177,"Not Available",TARRANT,"3101 NORTH TARRANT PARKWAY
FORT WORTH, TX
(32.898527, -97.313814)",TRUE,"Above the national average"
"CUMBERLAND HOSPITAL LLC",Proprietary,Childrens,VA,"NEW KENT",23124,"Not Available","NEW KENT","9407 CUMBERLAND ROAD
NEW KENT, VA
(37.538877, -76.978851)",FALSE,"Not Available"
"MINISTRY SAINT MARYS HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",WI,RHINELANDER,54501,3,ONEIDA,"2251 NORTH SHORE DR
RHINELANDER, WI
(45.6371, -89.375355)",TRUE,"Same as the national average"
"CENTRAL VALLEY MEDICAL CENTER - CAH","Voluntary non-profit - Private","Critical Access Hospitals",UT,NEPHI,84648,4,JUAB,"48 WEST 1500 NORTH
NEPHI, UT
(39.730587, -111.837215)",TRUE,"Above the national average"
"WINCHESTER MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",VA,WINCHESTER,22601,3,"WINCHESTER CITY","1840 AMHERST ST
WINCHESTER, VA
(39.191603, -78.193054)",TRUE,"Below the national average"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND",Proprietary,"Acute Care Hospitals",TX,"FLOWER MOUND",75028,4,DENTON,"4400 LONG PRAIRIE ROAD
FLOWER MOUND, TX
(33.045227, -97.069331)",TRUE,"Above the national average"
"MEMORIAL HERMANN SUGAR LAND HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",TX,"SUGAR LAND",77479,4,"FORT BEND","17500 W GRAND PARKWAY SOUTH
SUGAR LAND, TX
(29.56408, -95.68791)",TRUE,"Same as the national average"
"HAMLIN MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",TX,HAMLIN,79520,"Not Available",JONES,"632 N W SECOND STREET
HAMLIN, TX
(32.885168, -100.134635)",TRUE,"Not Available"
"THEDACARE MEDICAL CENTER - WILD ROSE INC","Voluntary non-profit - Private","Critical Access Hospitals",WI,"WILD ROSE",54984,"Not Available",WAUSHARA,"601 GROVE AVE
WILD ROSE, WI
(44.183162, -89.245656)",TRUE,"Not Available"
"THE HEART HOSPITAL BAYLOR DENTON",Physician,"Acute Care Hospitals",TX,DENTON,76208,"Not Available",DENTON,"2801 SOUTH MAYHILL ROAD
DENTON, TX
(33.177231, -97.088177)",TRUE,"Above the national average"
"BELLIN HEALTH OCONTO HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",WI,OCONTO,54153,"Not Available",OCONTO,"820 ARBUTUS AVE
OCONTO, WI
(44.896891, -87.867187)",TRUE,"Not Available"
"AURORA ST LUKES MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WI,MILWAUKEE,53215,4,MILWAUKEE,"2900 W OKLAHOMA AVE
MILWAUKEE, WI
(42.988612, -87.949346)",TRUE,"Above the national average"
"TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD","Voluntary non-profit - Private","Acute Care Hospitals",TX,BEDFORD,76022,4,TARRANT,"1600 HOSPITAL PARKWAY
BEDFORD, TX
(32.833513, -97.125241)",TRUE,"Above the national average"
"FILLMORE COMMUNITY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",UT,FILLMORE,84631,"Not Available",MILLARD,"674 SOUTH HIGHWAY 99
FILLMORE, UT
(38.954161, -112.339455)",TRUE,"Not Available"
"TIMPANOGOS REGIONAL HOSPITAL",Proprietary,"Acute Care Hospitals",UT,OREM,84057,4,UTAH,"750 WEST 800 NORTH
OREM, UT
(40.312064, -111.714498)",TRUE,"Above the national average"
"THROCKMORTON COUNTY MEMORIAL HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",TX,THROCKMORTON,76483,"Not Available",THROCKMORTON,"802 N MINTER AVENUE
THROCKMORTON, TX
(33.189652, -99.177278)",TRUE,"Not Available"
"ST FRANCIS COMMUNITY HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",WA,"FEDERAL WAY",98003,3,KING,"34515 9TH AVENUE SOUTH
FEDERAL WAY, WA
(47.292106, -122.322951)",TRUE,"Below the national average"
"CYPRESS FAIRBANKS MEDICAL CENTER",Proprietary,"Acute Care Hospitals",TX,HOUSTON,77065,2,HARRIS,"10655 STEEPLETOP DRIVE
HOUSTON, TX
(29.927032, -95.588567)",TRUE,"Below the national average"
"SISTERSVILLE GENERAL HOSPITAL","Government - Local","Critical Access Hospitals",WV,SISTERSVILLE,26175,"Not Available",TYLER,"314 SOUTH WELLS STREET
SISTERSVILLE, WV
(39.558339, -81.004067)",TRUE,"Not Available"
"POTOMAC VALLEY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",WV,KEYSER,26726,"Not Available",MINERAL,"100 PIN OAK LANE
KEYSER, WV
(39.40884, -79.003456)",TRUE,"Not Available"
"MADISON ST JOSEPH HEALTH CENTER","Voluntary non-profit - Church","Critical Access Hospitals",TX,MADISONVILLE,77864,"Not Available",MADISON,"100 WEST CROSS STREET
MADISONVILLE, TX
(30.942046, -95.909956)",FALSE,"Not Available"
"BON SECOURS RICHMOND COMMUNITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",VA,RICHMOND,23223,3,"RICHMOND CITY","1500 N. 28TH STREET
RICHMOND, VA
(37.540264, -77.406271)",TRUE,"Same as the national average"
"REAGAN MEMORIAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",TX,"BIG LAKE",76932,"Not Available",REAGAN,"805 NORTH MAIN
BIG LAKE, TX
(31.197894, -101.461702)",TRUE,"Not Available"
"NORTHWESTERN MEDICAL CENTER INC","Voluntary non-profit - Other","Acute Care Hospitals",VT,"SAINT ALBANS",5478,2,FRANKLIN,"133 FAIRFIELD STREET
SAINT ALBANS, VT
(44.806463, -73.072549)",TRUE,"Same as the national average"
"WAR MEMORIAL HOSPITAL INC","Voluntary non-profit - Private","Critical Access Hospitals",WV,"BERKELEY SPRINGS",25411,"Not Available",MORGAN,"1 HEALTHY WAY
BERKELEY SPRINGS, WV
(39.640923, -78.19987)",TRUE,"Not Available"
"BURNETT MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",WI,GRANTSBURG,54840,3,BURNETT,"257 W ST GEORGE AVE
GRANTSBURG, WI
(45.775652, -92.686488)",TRUE,"Above the national average"
"AURORA MEDICAL CTR KENOSHA","Voluntary non-profit - Private","Acute Care Hospitals",WI,KENOSHA,53142,4,KENOSHA,"10400 75TH ST
KENOSHA, WI
(42.567355, -87.933877)",TRUE,"Above the national average"
"BAY AREA REGIONAL MEDICAL CENTER, LLC",Proprietary,"Acute Care Hospitals",TX,WEBSTER,77598,3,HARRIS,"200 BLOSSOM STREET
WEBSTER, TX
(29.544213, -95.125201)",TRUE,"Below the national average"
"BEAVER DAM COMMUNITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",WI,"BEAVER DAM",53916,4,DODGE,"707 S UNIVERSITY AVE
BEAVER DAM, WI
(43.448825, -88.828284)",TRUE,"Above the national average"
"THE MONROE CLINIC","Voluntary non-profit - Private","Acute Care Hospitals",WI,MONROE,53566,4,GREEN,"2005 5TH STREET
MONROE, WI
(42.607807, -89.634574)",TRUE,"Above the national average"
"RALEIGH GENERAL HOSPITAL",Proprietary,"Acute Care Hospitals",WV,BECKLEY,25801,2,RALEIGH,"1710 HARPER ROAD
BECKLEY, WV
(37.786458, -81.203103)",TRUE,"Below the national average"
"NIX HEALTH CARE SYSTEM",Proprietary,"Acute Care Hospitals",TX,"SAN ANTONIO",78205,3,BEXAR,"414 NAVARRO, SUITE 600
SAN ANTONIO, TX
(29.425577, -98.489718)",TRUE,"Below the national average"
"INOVA FAIR OAKS HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",VA,FAIRFAX,22033,4,FAIRFAX,"3600 JOSEPH SIEWICK DRIVE
FAIRFAX, VA
(38.882234, -77.382499)",TRUE,"Above the national average"
"CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY","Voluntary non-profit - Other",Childrens,WI,NEENAH,54956,"Not Available",WINNEBAGO,"130 SECOND ST
NEENAH, WI
(44.189172, -88.453907)",TRUE,"Not Available"
"BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","Voluntary non-profit - Private","Acute Care Hospitals",TX,WAXAHACHIE,75165,3,ELLIS,"2400 N INTERSTATE HIGHWAY 35E
WAXAHACHIE, TX
(32.429622, -96.859736)",TRUE,"Above the national average"
"COLUMBIA CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WI,MEQUON,53097,"Not Available",OZAUKEE,"13125 N PORT WASHINGTON RD
MEQUON, WI
(43.256306, -87.924152)",FALSE,"Above the national average"
"UPLAND HILLS HEALTH","Voluntary non-profit - Private","Critical Access Hospitals",WI,DODGEVILLE,53533,4,IOWA,"800 COMPASSION WAY
DODGEVILLE, WI
(42.952635, -90.130254)",TRUE,"Above the national average"
"DOCTORS HOSPITAL OF LAREDO",Proprietary,"Acute Care Hospitals",TX,LAREDO,78041,3,WEBB,"10700 MCPHERSON ROAD
LAREDO, TX
(27.60709, -99.476281)",TRUE,"Below the national average"
"WATERTOWN REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WI,WATERTOWN,53098,4,DODGE,"125 HOSPITAL DRIVE
WATERTOWN, WI
(43.199594, -88.699015)",TRUE,"Above the national average"
"HIGHLINE MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WA,BURIEN,98166,3,KING,"16251 SYLVESTER ROAD SW
BURIEN, WA
(47.456778, -122.341455)",TRUE,"Below the national average"
"PALO PINTO GENERAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",TX,"MINERAL WELLS",76067,2,"PALO PINTO","400 SOUTHWEST 25 AVE
MINERAL WELLS, TX
(32.799552, -98.145406)",TRUE,"Same as the national average"
"UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY","Government - Hospital District or Authority","Acute Care Hospitals",WI,MADISON,53792,4,DANE,"600 HIGHLAND AVENUE
MADISON, WI
(43.077218, -89.429063)",TRUE,"Above the national average"
"GLEN ROSE MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",TX,"GLEN ROSE",76043,4,SOMERVELL,"1021 HOLDEN STREET
GLEN ROSE, TX
(32.241836, -97.745871)",TRUE,"Not Available"
"CAMPBELL COUNTY MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",WY,GILLETTE,82716,2,CAMPBELL,"501 SOUTH BURMA AVENUE
GILLETTE, WY
(44.289846, -105.519557)",TRUE,"Same as the national average"
"MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",TX,HOUSTON,77024,5,HARRIS,"921 GESSNER
HOUSTON, TX
(29.781023, -95.544422)",TRUE,"Same as the national average"
"SENTARA NORTHERN VIRGINIA MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",VA,WOODBRIDGE,22191,2,"PRINCE WILLIAM","2300 OPITZ BOULEVARD
WOODBRIDGE, VA
(38.634953, -77.284211)",TRUE,"Same as the national average"
"FALLS COMMUNITY HOSPITAL AND CLINIC","Voluntary non-profit - Private","Acute Care Hospitals",TX,MARLIN,76661,4,FALLS,"322 COLEMAN STREET
MARLIN, TX
(31.30747, -96.893901)",TRUE,"Above the national average"
"SENTARA NORFOLK GENERAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",VA,NORFOLK,23507,3,"NORFOLK CITY","600 GRESHAM DR
NORFOLK, VA
(36.859728, -76.30482)",TRUE,"Above the national average"
"MEMORIAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",TX,SEMINOLE,79360,"Not Available",GAINES,"209 NORTHWEST 8TH STREET
SEMINOLE, TX
(32.721319, -102.653729)",TRUE,"Not Available"
"LAKEVIEW MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WI,"RICE LAKE",54868,4,BARRON,"1700 WEST STOUT STREET
RICE LAKE, WI
(45.508042, -91.759027)",TRUE,"Above the national average"
"RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG","Voluntary non-profit - Private","Acute Care Hospitals",VA,WILLIAMSBURG,23185,4,"JAMES CITY","1500 COMMONWEALTH AVENUE
WILLIAMSBURG, VA
(37.251622, -76.666875)",TRUE,"Above the national average"
"KENNEWICK GENERAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",WA,KENNEWICK,99336,3,BENTON,"900 SOUTH AUBURN STREET
KENNEWICK, WA
(46.199447, -119.118458)",TRUE,"Below the national average"
"SWEDISH EDMONDS HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",WA,EDMONDS,98026,2,SNOHOMISH,"21601 76TH AVENUE WEST
EDMONDS, WA
(47.802884, -122.33569)",TRUE,"Below the national average"
"SOUTH TEXAS SURGICAL HOSPITAL",Proprietary,"Acute Care Hospitals",TX,"CORPUS CHRISTI",78414,4,NUECES,"6130 PARKWAY DRIVE
CORPUS CHRISTI, TX
(27.687052, -97.375153)",TRUE,"Above the national average"
"THE MEDICAL CENTER OF SOUTHEAST TEXAS",Proprietary,"Acute Care Hospitals",TX,"PORT ARTHUR",77640,3,JEFFERSON,"2555 JIMMY JOHNSON BLVD
PORT ARTHUR, TX
(29.934952, -93.985007)",TRUE,"Below the national average"
"BAPTIST BEAUMONT HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",TX,BEAUMONT,77701,3,JEFFERSON,"3080 COLLEGE STREET
BEAUMONT, TX
(30.068473, -94.120255)",TRUE,"Below the national average"
"WEBSTER COUNTY MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",WV,"WEBSTER SPRINGS",26288,"Not Available",WEBSTER,"324 MILLER MOUNTAIN DRIVE
WEBSTER SPRINGS, WV
(38.4819, -80.409851)",TRUE,"Not Available"
"SUMMIT MEDICAL CENTER",Physician,"Acute Care Hospitals",WY,CASPER,82609,"Not Available",NATRONA,"6350 E 2ND STREET
CASPER, WY
(42.8402, -106.229362)",FALSE,"Not Available"
"FAUQUIER HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",VA,WARRENTON,20186,2,FAUQUIER,"500 HOSPITAL DRIVE
WARRENTON, VA
(38.714858, -77.808306)",TRUE,"Same as the national average"
"PEACEHEALTH SOUTHWEST MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",WA,VANCOUVER,98668,2,CLARK,"400 NE MOTHER JOSEPH PLACE
VANCOUVER, WA
(45.623486, -122.580636)",TRUE,"Below the national average"
"ST CLARES HOSPITAL OF WESTON","Voluntary non-profit - Private","Acute Care Hospitals",WI,WESTON,54476,3,MARATHON,"3400 MINISTRY PARKWAY
WESTON, WI
(44.889675, -89.582214)",TRUE,"Above the national average"
"BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",VA,MECHANICSVILLE,23116,4,HANOVER,"8260 ATLEE ROAD
MECHANICSVILLE, VA
(37.629352, -77.388102)",TRUE,"Same as the national average"
"PINE CREEK MEDICAL CENTER LLP",Proprietary,"Acute Care Hospitals",TX,DALLAS,75235,"Not Available",DALLAS,"9032 HARRY HINES BLVD
DALLAS, TX
(32.840012, -96.868658)",TRUE,"Same as the national average"
"CJW MEDICAL CENTER",Proprietary,"Acute Care Hospitals",VA,RICHMOND,23235,2,CHESTERFIELD,"7101 JAHNKE ROAD
RICHMOND, VA
(37.515832, -77.52488)",TRUE,"Below the national average"
"SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON",Proprietary,"Acute Care Hospitals",TX,PASADENA,77504,"Not Available",HARRIS,"4301 B VISTA
PASADENA, TX
(29.658717, -95.178161)",TRUE,"Not Available"
"BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR","Voluntary non-profit - Private","Critical Access Hospitals",TX,TAYLOR,76574,"Not Available",WILLIAMSON,"305 MALLARD
TAYLOR, TX
(30.591931, -97.415265)",TRUE,"Not Available"
"TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN","Voluntary non-profit - Private",Childrens,TX,DALLAS,75219,"Not Available",DALLAS,"2222 WELBORN STREET
DALLAS, TX
(32.803251, -96.813357)",FALSE,"Not Available"
"BURLESON ST JOSEPH HEALTH CENTER","Voluntary non-profit - Church","Critical Access Hospitals",TX,CALDWELL,77836,"Not Available",BURLESON,"1101 WOODSON DRIVE
CALDWELL, TX
(30.520307, -96.717714)",FALSE,"Not Available"
"WESTON COUNTY HEALTH SERVICES","Government - Hospital District or Authority","Critical Access Hospitals",WY,NEWCASTLE,82701,"Not Available",WESTON,"1124 WASHINGTON BOULEVARD
NEWCASTLE, WY
(43.848747, -104.188756)",TRUE,"Not Available"
"PARKVIEW HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",TX,WHEELER,79096,"Not Available",WHEELER,"901 S. SWEETWATER
WHEELER, TX
(35.439363, -100.270803)",TRUE,"Not Available"
"OUR CHILDRENS HOUSE","Voluntary non-profit - Church",Childrens,TX,ALLEN,75002,"Not Available",COLLIN,"8 PRESTIGE CIRCLE 101
ALLEN, TX
(33.092118, -96.672686)",FALSE,"Not Available"
"HEBER VALLEY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",UT,"HEBER CITY",84032,"Not Available",WASATCH,"1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.489047, -111.409218)",TRUE,"Above the national average"
"EMERUS COMMUNITY HOSPITAL",Proprietary,"Acute Care Hospitals",TX,TOMBALL,77375,"Not Available",HARRIS,"24429 TOMBALL PARKWAY, SUITE 100
TOMBALL, TX
(30.037176, -95.605323)",TRUE,"Not Available"
"THEDACARE MEDICAL CENTER NEW LONDON","Voluntary non-profit - Private","Critical Access Hospitals",WI,"NEW LONDON",54961,3,OUTAGAMIE,"1405 MILL ST
NEW LONDON, WI
(44.381668, -88.733124)",TRUE,"Same as the national average"
"NORTHEASTERN VERMONT REGIONAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",VT,"SAINT JOHNSBURY",5819,3,CALEDONIA,"1315 HOSPITAL DRIVE
SAINT JOHNSBURY, VT
(44.445262, -72.009516)",TRUE,"Same as the national average"
"SHENANDOAH MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",VA,WOODSTOCK,22664,4,SHENANDOAH,"759 SOUTH MAIN STREET
WOODSTOCK, VA
(38.871586, -78.513936)",TRUE,"Same as the national average"
"SENTARA PRINCESS ANNE HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",VA,"VIRGINIA BEACH",23456,4,"VIRGINIA BEACH CITY","2025 GLENN MITCHELL DRIVE
VIRGINIA BEACH, VA
(36.777194, -76.096738)",TRUE,"Above the national average"
"COMMUNITY MEMORIAL HEALTHCENTER, INC","Voluntary non-profit - Private","Acute Care Hospitals",VA,"SOUTH HILL",23970,3,MECKLENBURG,"125 BUENA VISTA CIRCLE
SOUTH HILL, VA
(36.734491, -78.133439)",TRUE,"Below the national average"
"VERNON MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",WI,VIROQUA,54665,4,VERNON,"507 SOUTH MAIN ST
VIROQUA, WI
(43.55146, -90.888946)",TRUE,"Above the national average"
"OUR LADY OF VICTORY HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",WI,STANLEY,54768,4,CHIPPEWA,"1120 PINE ST
STANLEY, WI
(44.955311, -90.920564)",TRUE,"Not Available"
"WISE REGIONAL HEALTH SYSTEM","Government - Hospital District or Authority","Acute Care Hospitals",TX,DECATUR,76234,3,WISE,"609 MEDICAL CENTER DRIVE
DECATUR, TX
(33.218404, -97.594987)",TRUE,"Same as the national average"
"PAGE MEMORIAL HOSPITAL, INC","Voluntary non-profit - Private","Critical Access Hospitals",VA,LURAY,22835,4,PAGE,"200 MEMORIAL DRIVE
LURAY, VA
(38.662482, -78.469864)",TRUE,"Same as the national average"
"DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS","Voluntary non-profit - Private",Childrens,TX,AUSTIN,78723,"Not Available",TRAVIS,"4900 MUELLER BLVD
AUSTIN, TX
(30.30245, -97.70499)",TRUE,"Not Available"
"SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE","Voluntary non-profit - Other","Acute Care Hospitals",WI,JANESVILLE,53546,4,ROCK,"3400 EAST RACINE STREET
JANESVILLE, WI
(42.67098, -88.976079)",TRUE,"Above the national average"
"SENTARA HALIFAX REGIONAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",VA,"SOUTH BOSTON",24592,3,HALIFAX,"2204 WILBORN AVENUE
SOUTH BOSTON, VA
(36.713485, -78.913198)",TRUE,"Same as the national average"
"CLEVELAND EMERGENCY HOSPTIAL",Proprietary,"Acute Care Hospitals",TX,CLEVELAND,77327,"Not Available",LIBERTY,"1017 S TRAVIS AVE
CLEVELAND, TX
(30.329599, -95.095961)",TRUE,"Not Available"
"FLAMBEAU HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",WI,"PARK FALLS",54552,4,PRICE,"98 SHERRY AVE
PARK FALLS, WI
(45.931098, -90.441972)",TRUE,"Above the national average"
"SHRINERS HOSPITALS FOR CHILDREN","Voluntary non-profit - Other",Childrens,TX,HOUSTON,77030,"Not Available",HARRIS,"6977 MAIN STREET
HOUSTON, TX
(29.704738, -95.406174)",FALSE,"Not Available"
"MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",TX,NACOGDOCHES,75961,3,NACOGDOCHES,"1204 MOUND ST
NACOGDOCHES, TX
(31.612411, -94.649469)",TRUE,"Same as the national average"
"CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS",Proprietary,"Acute Care Hospitals",TX,"SULPHUR SPRINGS",75482,3,HOPKINS,"115 AIRPORT RD
SULPHUR SPRINGS, TX
(33.15622, -95.599648)",TRUE,"Same as the national average"
"MAYO CLINIC HEALTH SYSTEM  RED CEDAR","Voluntary non-profit - Private","Critical Access Hospitals",WI,MENOMONIE,54751,4,DUNN,"2321 STOUT RD
MENOMONIE, WI
(44.882566, -91.900468)",TRUE,"Above the national average"
"BAYLOR EMERGENCY MEDICAL CENTER",Proprietary,"Acute Care Hospitals",TX,BURLESON,76028,"Not Available",JOHNSON,"12500 SOUTH FREEWAY SUITE 100
BURLESON, TX
(32.576114, -97.32087)",TRUE,"Not Available"
"BON SECOURS ST FRANCIS MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",VA,MIDLOTHIAN,23114,3,CHESTERFIELD,"13710 ST FRANCIS BOULEVARD
MIDLOTHIAN, VA
(37.466379, -77.659013)",TRUE,"Same as the national average"
"ST LUKE'S PATIENTS MEDICAL CENTER",Physician,"Acute Care Hospitals",TX,PASADENA,77505,4,HARRIS,"4600 EAST SAM HOUSTON PARKWAY SOUTH
PASADENA, TX
(29.641164, -95.159911)",TRUE,"Below the national average"
"REFUGIO COUNTY MEMORIAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",TX,REFUGIO,78377,"Not Available",REFUGIO,"107 SWIFT STREET
REFUGIO, TX
(28.306487, -97.279439)",TRUE,"Not Available"
"VALLEY MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",WA,RENTON,98055,3,KING,"400 S 43RD ST
RENTON, WA
(47.441094, -122.214251)",TRUE,"Same as the national average"
"LOGAN REGIONAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",UT,LOGAN,84341,4,CACHE,"500 EAST 1400 NORTH
LOGAN, UT
(41.757446, -111.821612)",TRUE,"Above the national average"
"BRATTLEBORO MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",VT,BRATTLEBORO,5301,4,WINDHAM,"17 BELMONT AVE
BRATTLEBORO, VT
(42.842084, -72.56472)",TRUE,"Same as the national average"
"ST MARY'S MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",WV,HUNTINGTON,25702,3,CABELL,"2900 1ST AVENUE
HUNTINGTON, WV
(38.431833, -82.401335)",TRUE,"Above the national average"
"THE HOSPITAL AT WESTLAKE MEDICAL CENTER",Proprietary,"Acute Care Hospitals",TX,AUSTIN,78746,4,TRAVIS,"5656 BEE CAVES ROAD, SUITE M-302
AUSTIN, TX
(30.294735, -97.824938)",TRUE,"Same as the national average"
"FIRST TEXAS HOSPITAL",Proprietary,"Acute Care Hospitals",TX,HOUSTON,77070,"Not Available",HARRIS,"9922 LOUETTA RD
HOUSTON, TX
(30.00142, -95.559705)",TRUE,"Not Available"
"WAUKESHA MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",WI,WAUKESHA,53188,4,WAUKESHA,"725 AMERICAN AVE
WAUKESHA, WI
(43.011279, -88.245522)",TRUE,"Same as the national average"
"YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER",Proprietary,"Acute Care Hospitals",WA,YAKIMA,98902,2,YAKIMA,"110 SOUTH NINTH AVE
YAKIMA, WA
(46.597985, -120.521096)",TRUE,"Below the national average"
"HEREFORD REGIONAL MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",TX,HEREFORD,79045,3,"DEAF SMITH","801 EAST THIRD
HEREFORD, TX
(34.820348, -102.391915)",TRUE,"Not Available"
"TYLER COUNTY HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",TX,WOODVILLE,75979,3,TYLER,"1100 WEST BLUFF
WOODVILLE, TX
(30.775287, -94.42822)",FALSE,"Not Available"
"WHITMAN HOSPITAL AND MEDICAL CENTER","Government - Hospital District or Authority","Critical Access Hospitals",WA,COLFAX,99111,4,WHITMAN,"1200 WEST FAIRVIEW
COLFAX, WA
(46.868919, -117.375012)",TRUE,"Above the national average"
"BEDFORD MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",VA,BEDFORD,24523,3,BEDFORD,"1613 OAKWOOD STREET
BEDFORD, VA
(37.351563, -79.516415)",TRUE,"Same as the national average"
"AD HOSPITAL EAST, LLC",Proprietary,"Acute Care Hospitals",TX,HOUSTON,77015,"Not Available",HARRIS,"12950 EAST FREEWAY, SUITE 100
HOUSTON, TX
(29.771136, -95.200782)",TRUE,"Not Available"
"SSM HEALTH ST MARY'S HOSPITAL - MADISON","Voluntary non-profit - Private","Acute Care Hospitals",WI,MADISON,53715,5,DANE,"700 SOUTH PARK ST
MADISON, WI
(43.059474, -89.400805)",TRUE,"Above the national average"
"UNIVERSITY OF VERMONT MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",VT,BURLINGTON,5401,3,CHITTENDEN,"111 COLCHESTER AVE
BURLINGTON, VT
(44.480966, -73.195571)",TRUE,"Above the national average"
"HAMILTON GENERAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",TX,HAMILTON,76531,4,HAMILTON,"400 N BROWN, BUILDING 1
HAMILTON, TX
(31.703852, -98.113462)",TRUE,"Above the national average"
